Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,prereg_experience,dev_experience,dev_reputation_1,report_experience,report_reputation_1,report_reputation_2,prereg_barriers_1,prereg_barriers_2,prereg_barriers_3,report_consequences_1,report_consequences_2,report_consequences_3,assessed_cr_tr_a_1,assessed_cr_tr_a_2,cr_factors_a,tr_factors_a,assessed_cr_tr_b_1,assessed_cr_tr_b_2,cr_factors_b,tr_factors_b,assessed_cr_tr_c_1,assessed_cr_tr_c_2,cr_factors_c,tr_factors_c,fishy_c,assessed_cr_tr_d_1,assessed_cr_tr_d_2,cr_factors_d,tr_factors_d,fishy_d,practices_perception_1,practices_perception_2,practices_perception_3,requirement,guidance,norms,training,research_area,phd_defense,phd_defense_2_TEXT,country,scenario_version
100,1455,True,2024-03-13 20:36:27,R_2oBiXKaDYbR7jSU,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,more,more,more,NA,NA,NA,NA,NA,NA,NA,NA,70,70,"statistical methods,study design,information about deviations from the original plan","sample size,statistical methods,study design,wording of the text",I thought it was a good decision,NA,NA,NA,NA,NA,30,5,70,"my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.","my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.",I don't agree,No,Other:,Year of my PhD defense:,2027,Brazil,C
100,7101,True,2024-03-13 20:41:11,R_2LopVQsghrUwVqn,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,the same / equally,more,more,NA,NA,NA,NA,NA,NA,NA,NA,75,90,"statistical methods,wording of the text,information about preregistration","statistical methods,wording of the text,information about deviations from the original plan",I didn't notice it,NA,NA,NA,NA,NA,45,60,20,"my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.,else:","my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.",I rather don't agree,No,Clinical Medicine,Year of my PhD defense:,2013,Austria,C
100,684,True,2024-03-13 20:41:53,R_2NWkpTUDvY7drHG,email,EN,Yes,Yes,Yes,I don't agree,Yes,I agree,NA,NA,NA,NA,more,more,more,20,20,"sample size,statistical methods,study design,hypotheses,information about preregistration,information about deviations from the original plan","sample size,statistical methods,study design,wording of the text,hypotheses,information about preregistration,information about deviations from the original plan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,100,19,"my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.",else:,I agree,No,Clinical Medicine,Year of my PhD defense:,2024,Denmark,A
100,7245,True,2024-03-13 20:42:37,R_3esn9L9S5Hlymcl,email,EN,Yes,No,NA,NA,NA,NA,NA,I don't agree,I agree,I agree,the same / equally,the same / equally,the same / equally,NA,NA,NA,NA,51,51,"statistical methods,study design,wording of the text,hypotheses","statistical methods,study design,wording of the text,hypotheses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,81,18,my PI or collaborators.,my PI or collaborators.,I don't agree,I don't know,Psychiatry / Psychology,Year of my PhD defense:,2013,USA,B
100,329,True,2024-03-13 20:46:13,R_12ya8Q9F61blSFX,email,EN,Yes,Yes,Yes,I don't know,Yes,I agree,NA,NA,NA,NA,more,more,more,NA,NA,NA,NA,51,53,other:,other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,90,41,"my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.","my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.",I agree,Yes,Clinical Medicine,Year of my PhD defense:,1990,canada,B
100,941,True,2024-03-13 20:48:18,R_8g5HgfclSRNxIyF,email,EN,Yes,Yes,Yes,I rather don't agree,Yes,I agree,NA,NA,NA,NA,less,less,more,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,60,"sample size,statistical methods,study design,hypotheses,information about preregistration","information about preregistration,information about deviations from the original plan",I was indifferent about it,80,20,20,the journal where I would like to submit my paper/I have submitted my paper.,the journal where I would like to submit my paper/I have submitted my paper.,I don't agree,No,Psychiatry / Psychology,Year of my PhD defense:,2022,Denmark,D
100,551,True,2024-03-13 20:48:35,R_63sbWOU81E4MRt7,email,EN,Yes,No,NA,NA,NA,NA,NA,I don't agree,I don't agree,I don't agree,the same / equally,the same / equally,more,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,90,"wording of the text,information about deviations from the original plan",statistical methods,I thought it was fishy,50,50,50,else:,else:,I don't know,I don't know,Social Sciences,Year of my PhD defense:,1986,USA,D
100,8604,True,2024-03-13 20:49:38,R_2Sk3zY3GxE9mtwW,email,EN,Yes,No,NA,NA,NA,NA,NA,I agree,I don't know,I don't agree,the same / equally,the same / equally,the same / equally,19,6,"research field,sample size,study design,wording of the text,hypotheses","sample size,statistical methods,wording of the text,information about preregistration,information about deviations from the original plan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,22,34,"my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.","my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.",I agree,No,Multidisciplinary,Year of my PhD defense:,2018,Brazil,A
100,486,True,2024-03-13 20:50:16,R_2sdTs0EoIJterKS,email,EN,Yes,No,NA,NA,NA,NA,NA,I rather agree,I rather agree,I agree,the same / equally,the same / equally,more,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,68,"sample size,statistical methods,study design,wording of the text","study design,wording of the text,information about deviations from the original plan",I thought it was a good decision,79,55,12,none,none,I rather don't agree,Yes,Clinical Medicine,I haven't had a PhD defense,-99,Sweden,D
100,540,True,2024-03-13 20:51:06,R_2wTWOvqTsirfYwj,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,less,less,the same / equally,NA,NA,NA,NA,NA,NA,NA,NA,79,78,"sample size,statistical methods,study design,wording of the text,hypotheses,information about preregistration,information about deviations from the original plan","statistical methods,study design,wording of the text,hypotheses,information about preregistration,information about deviations from the original plan",I was indifferent about it,NA,NA,NA,NA,NA,30,60,27,the journal where I would like to submit my paper/I have submitted my paper.,"my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.",I agree,I don't know,Clinical Medicine,I haven't had a PhD defense,-99,Sweden,C
100,289,True,2024-03-13 20:51:36,R_6ie355GmougbBuV,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,the same / equally,the same / equally,less,NA,NA,NA,NA,NA,NA,NA,NA,54,55,"statistical methods,study design,hypotheses,information about preregistration,information about deviations from the original plan","statistical methods,hypotheses,information about preregistration,information about deviations from the original plan",I was indifferent about it,NA,NA,NA,NA,NA,30,75,100,"my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.","my PI or collaborators.,the funder of my research project.",I agree,Yes,Clinical Medicine,I haven't had a PhD defense,-99,United States,C
100,607,True,2024-03-13 20:53:47,R_1riwDJAsvZLHWqK,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,the same / equally,the same / equally,the same / equally,NA,NA,NA,NA,80,80,"research field,sample size,statistical methods,study design,wording of the text","research field,sample size,statistical methods,study design,wording of the text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,47,55,"my PI or collaborators.,the funder of my research project.",the funder of my research project.,I agree,No,Clinical Medicine,Year of my PhD defense:,2012,Brasil,B
100,484,True,2024-03-13 20:54:53,R_3lbq8EbujsYeB4n,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,less,less,less,NA,NA,NA,NA,NA,NA,NA,NA,91,95,"sample size,statistical methods,information about deviations from the original plan",information about deviations from the original plan,I was indifferent about it,NA,NA,NA,NA,NA,27,66,33,"my PI or collaborators.,else:",else:,I don't know,No,Social Sciences,Year of my PhD defense:,2010,United States of America,C
100,307,True,2024-03-13 20:55:03,R_2cI0zeE6gyXqfvz,email,EN,Yes,No,NA,NA,NA,NA,NA,I rather don't agree,I rather agree,I rather agree,the same / equally,the same / equally,the same / equally,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,12,"sample size,statistical methods,study design,hypotheses","sample size,study design,hypotheses",I thought it was fishy,70,49,80,none,"the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.",I don't agree,No,Clinical Medicine,Year of my PhD defense:,1999,Egypt,D
100,1346,True,2024-03-13 20:58:50,R_8rYhNys7zb78ld4,email,EN,Yes,No,NA,NA,NA,NA,NA,I don't agree,I rather don't agree,I agree,the same / equally,more,more,58,58,"statistical methods,study design,wording of the text","statistical methods,study design",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,81,14,none,my PI or collaborators.,I don't know,Yes,Psychiatry / Psychology,I haven't had a PhD defense,-99,Serbia,A
100,425,True,2024-03-13 21:00:04,R_4GNCdWvwq9ysu5U,email,EN,Yes,Yes,Yes,I rather don't agree,Yes,I agree,NA,NA,NA,NA,more,more,more,NA,NA,NA,NA,71,72,"sample size,statistical methods,study design,information about preregistration,information about deviations from the original plan","study design,wording of the text,information about preregistration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,68,40,none,none,I don't agree,I don't know,Multidisciplinary,Year of my PhD defense:,2000,Netherlands,B
100,748,True,2024-03-13 21:04:49,R_8s8XiudztG0oR7X,email,EN,Yes,Yes,Yes,I don't agree,Yes,I rather don't agree,NA,NA,NA,NA,the same / equally,the same / equally,the same / equally,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,93,"sample size,statistical methods,study design,wording of the text,information about preregistration,information about deviations from the original plan","sample size,study design,wording of the text,information about preregistration,information about deviations from the original plan",I was indifferent about it,77,83,6,else:,"my PI or collaborators.,else:",I rather agree,I don't know,Clinical Medicine,Year of my PhD defense:,2017,Netherlands,D
100,621,True,2024-03-13 21:05:21,R_4KSgeLZV5ZvI5YR,email,EN,Yes,No,NA,NA,NA,NA,NA,I agree,I agree,I rather don't agree,the same / equally,the same / equally,the same / equally,NA,NA,NA,NA,NA,NA,NA,NA,69,72,"sample size,study design,wording of the text","study design,wording of the text",I thought it was a good decision,NA,NA,NA,NA,NA,72,28,19,none,none,I don't agree,No,Multidisciplinary,Year of my PhD defense:,2006,Finland,C
100,1007,True,2024-03-13 21:07:00,R_1E2I24GP2lb9ciJ,email,EN,Yes,No,NA,NA,NA,NA,NA,I don't agree,I don't agree,I agree,the same / equally,more,more,NA,NA,NA,NA,NA,NA,NA,NA,76,91,"statistical methods,study design,hypotheses",wording of the text,I was indifferent about it,NA,NA,NA,NA,NA,50,50,5,none,none,I rather agree,Yes,Other:,Year of my PhD defense:,2021,USA,C
100,408,True,2024-03-13 21:08:34,R_5l1x7ElRLkQO24h,email,EN,Yes,Yes,I don't know,NA,NA,NA,NA,NA,NA,NA,the same / equally,the same / equally,more,18,31,"wording of the text,other:",other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,57,27,none,none,I agree,Yes,Multidisciplinary,I haven't had a PhD defense,-99,US,A
100,581,True,2024-03-13 21:09:05,R_7Pn9bwgC2tspqkI,email,EN,Yes,Yes,Yes,I rather don't agree,Yes,I agree,NA,NA,NA,NA,the same / equally,more,more,NA,NA,NA,NA,90,90,"sample size,statistical methods,study design,hypotheses,information about preregistration,information about deviations from the original plan","sample size,statistical methods,study design,hypotheses,information about preregistration,information about deviations from the original plan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,90,50,"the journal where I would like to submit my paper/I have submitted my paper.,else:",none,I agree,Yes,Psychiatry / Psychology,Year of my PhD defense:,2022,USA,B
100,986,True,2024-03-13 21:09:12,R_3M5qRDAoroZxFVF,email,EN,Yes,No,NA,NA,NA,NA,NA,I agree,I don't know,I don't know,the same / equally,the same / equally,the same / equally,19,100,"research field,sample size,wording of the text,other:","research field,sample size,statistical methods,study design,wording of the text,other:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,49,49,none,none,I rather don't agree,No,Other:,Year of my PhD defense:,1998,USA,A
100,423,True,2024-03-13 21:11:26,R_40xvK7u3TByITJ1,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,the same / equally,less,less,NA,NA,NA,NA,60,72,"statistical methods,study design,wording of the text,information about preregistration","statistical methods,wording of the text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,44,20,"my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.",my PI or collaborators.,I rather agree,No,Multidisciplinary,Year of my PhD defense:,2011,Australia,B
100,546,True,2024-03-13 21:12:27,R_4HkJ3pHclm1Hjqh,email,EN,Yes,Yes,Yes,I don't agree,Yes,I agree,NA,NA,NA,NA,less,the same / equally,the same / equally,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,53,"statistical methods,study design,wording of the text,information about deviations from the original plan,other:","statistical methods,wording of the text,information about deviations from the original plan,other:",I thought it was fishy,90,80,53,"my PI or collaborators.,else:",the journal where I would like to submit my paper/I have submitted my paper.,I rather agree,I don't know,Psychiatry / Psychology,I haven't had a PhD defense,-99,Australia,D
100,186,True,2024-03-13 21:12:31,R_2EENITV7OHKggMy,email,EN,Yes,Yes,I don't know,NA,NA,NA,NA,NA,NA,NA,less,less,more,50,51,"statistical methods,study design,wording of the text,hypotheses,information about deviations from the original plan","research field,information about preregistration,information about deviations from the original plan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,13,16,my PI or collaborators.,"my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.",I agree,No,Psychiatry / Psychology,I haven't had a PhD defense,-99,United States,A
100,429,True,2024-03-13 21:14:45,R_2xMjrv9xq7Rusvb,email,EN,Yes,No,NA,NA,NA,NA,NA,I rather agree,I agree,I rather agree,the same / equally,the same / equally,more,NA,NA,NA,NA,85,81,"research field,sample size,statistical methods","sample size,statistical methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,60,24,else:,else:,I agree,I don't know,Multidisciplinary,Year of my PhD defense:,1992,United States,B
100,727,True,2024-03-13 21:15:47,R_4oWJKYjoiuaGcaI,email,EN,Yes,No,NA,NA,NA,NA,NA,I don't agree,I agree,I agree,the same / equally,more,more,NA,NA,NA,NA,NA,NA,NA,NA,40,60,study design,information about deviations from the original plan,I was indifferent about it,NA,NA,NA,NA,NA,80,50,25,"the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.,else:",else:,I agree,I don't know,Clinical Medicine,I haven't had a PhD defense,-99,Australia,C
100,337,True,2024-03-13 21:16:21,R_48JbhNxtIJQWzYy,email,EN,Yes,No,NA,NA,NA,NA,NA,I don't agree,I rather don't agree,I agree,the same / equally,more,more,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,100,"statistical methods,study design,hypotheses,information about deviations from the original plan","study design,hypotheses,information about deviations from the original plan",I thought it was fishy,81,53,40,none,none,I don't agree,No,Multidisciplinary,Year of my PhD defense:,2022,Japan,D
100,523,True,2024-03-13 21:17:01,R_3q7PJTmIfCn07du,email,EN,Yes,Yes,Yes,I rather don't agree,Yes,I rather agree,NA,NA,NA,NA,the same / equally,the same / equally,the same / equally,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,55,"sample size,statistical methods,study design,wording of the text,hypotheses,information about preregistration,information about deviations from the original plan","sample size,statistical methods,study design,wording of the text,information about preregistration,information about deviations from the original plan",I thought it was a good decision,82,32,10,none,else:,I rather agree,I don't know,Multidisciplinary,Year of my PhD defense:,1978,USA,D
100,615,True,2024-03-13 21:19:01,R_1gFunJfkElY4rzj,email,EN,Yes,Yes,Yes,I don't agree,No,NA,I don't agree,NA,NA,NA,the same / equally,the same / equally,the same / equally,NA,NA,NA,NA,NA,NA,NA,NA,82,85,"sample size,statistical methods,study design,wording of the text,hypotheses,information about preregistration,information about deviations from the original plan","research field,sample size,statistical methods,study design,wording of the text,hypotheses,information about preregistration,information about deviations from the original plan",I thought it was a good decision,NA,NA,NA,NA,NA,49,36,8,"my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.","my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.",I rather don't agree,Yes,Clinical Medicine,I haven't had a PhD defense,-99,United States,C
100,586,True,2024-03-13 21:19:49,R_7PZe3kcZkAtP5hA,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,less,more,more,81,53,"sample size,statistical methods,study design,hypotheses,information about preregistration","sample size,statistical methods,study design,information about preregistration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,30,31,my PI or collaborators.,"my PI or collaborators.,the funder of my research project.",I rather don't agree,Yes,Psychiatry / Psychology,Year of my PhD defense:,1976,Usa,A
100,236,True,2024-03-13 21:20:30,R_3K1ooSjv87Jb1r1,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,less,more,more,NA,NA,NA,NA,NA,NA,NA,NA,72,72,"sample size,statistical methods,study design,hypotheses,information about preregistration,information about deviations from the original plan","statistical methods,study design,hypotheses,information about preregistration,information about deviations from the original plan",I thought it was fishy,NA,NA,NA,NA,NA,85,60,40,none,none,I rather agree,Yes,Psychiatry / Psychology,I haven't had a PhD defense,-99,UK,C
100,372,True,2024-03-13 21:22:04,R_7LSCK7t4IwcaweJ,email,EN,Yes,Yes,Yes,I rather don't agree,Yes,I rather agree,NA,NA,NA,NA,the same / equally,the same / equally,more,50,50,"statistical methods,study design,wording of the text","statistical methods,study design,wording of the text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,70,20,the journal where I would like to submit my paper/I have submitted my paper.,none,I don't know,I don't know,Other:,Year of my PhD defense:,2005,USA,A
100,688,True,2024-03-13 21:22:20,R_4z4HFPQ4TarXlV7,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,less,less,less,NA,NA,NA,NA,50,50,"research field,sample size,study design,information about preregistration,information about deviations from the original plan","study design,hypotheses,information about preregistration,information about deviations from the original plan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0,30,the journal where I would like to submit my paper/I have submitted my paper.,else:,I agree,I don't know,Clinical Medicine,I haven't had a PhD defense,-99,Italy,B
100,749,True,2024-03-13 21:22:43,R_5ssWApkD320ITJv,email,EN,Yes,Yes,Yes,I rather don't agree,Yes,I agree,NA,NA,NA,NA,less,more,less,NA,NA,NA,NA,70,70,"sample size,statistical methods,study design,hypotheses,information about preregistration","sample size,statistical methods,study design,wording of the text,information about preregistration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,50,30,"my PI or collaborators.,else:","my PI or collaborators.,else:",I agree,I don't know,Other:,Year of my PhD defense:,2022,United States,B
100,281,True,2024-03-13 21:28:36,R_87gudeHpNLZqgai,email,EN,Yes,Yes,Yes,I don't agree,Yes,I agree,NA,NA,NA,NA,the same / equally,more,more,NA,NA,NA,NA,76,64,"research field,sample size,statistical methods,study design,hypotheses,information about preregistration,information about deviations from the original plan","research field,sample size,statistical methods,study design,wording of the text,hypotheses,information about preregistration,information about deviations from the original plan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,69,75,none,none,I don't agree,No,Psychiatry / Psychology,Year of my PhD defense:,2020,United Kingdom,B
100,239,True,2024-03-13 21:33:55,R_27emJfXBdgMDIdz,email,EN,Yes,Yes,I don't know,NA,NA,NA,NA,NA,NA,NA,less,less,less,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,75,"statistical methods,study design,information about preregistration,information about deviations from the original plan","statistical methods,study design,information about preregistration,information about deviations from the original plan",I was indifferent about it,92,71,49,"my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.",my PI or collaborators.,I don't agree,No,Psychiatry / Psychology,Year of my PhD defense:,1975,USA,D
100,3976,True,2024-03-13 21:35:55,R_8vvJjWLRTtqGDgl,email,EN,Yes,Yes,Yes,I don't agree,Yes,I rather agree,NA,NA,NA,NA,the same / equally,more,more,NA,NA,NA,NA,62,75,"sample size,statistical methods,information about preregistration,information about deviations from the original plan,other:","sample size,statistical methods,study design,hypotheses,information about preregistration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,15,20,my PI or collaborators.,my PI or collaborators.,I don't know,No,Psychiatry / Psychology,Year of my PhD defense:,2011,Norway,B
100,764,True,2024-03-13 21:37:43,R_8E7noQ8JC4X05Fy,email,EN,Yes,No,NA,NA,NA,NA,NA,I don't know,I don't know,I agree,more,the same / equally,more,NA,NA,NA,NA,NA,NA,NA,NA,51,49,"sample size,statistical methods,study design,hypotheses","sample size,statistical methods,study design,hypotheses,information about preregistration,information about deviations from the original plan",I was indifferent about it,NA,NA,NA,NA,NA,66,33,30,"my PI or collaborators.,the funder of my research project.",my PI or collaborators.,I rather don't agree,No,Clinical Medicine,I haven't had a PhD defense,-99,spain,C
100,1072,True,2024-03-13 21:48:47,R_2EK1LP0iddiFzLr,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,more,more,more,50,50,"sample size,statistical methods,study design,hypotheses,information about preregistration,information about deviations from the original plan,other:","sample size,statistical methods,study design,hypotheses,information about preregistration,information about deviations from the original plan,other:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,15,50,"my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.","my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.",I rather agree,No,Clinical Medicine,Year of my PhD defense:,1976,Sweden,A
100,9332,True,2024-03-13 21:55:25,R_2xWZgepl9HGadvr,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,the same / equally,the same / equally,the same / equally,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,"sample size,statistical methods,other:","wording of the text,information about deviations from the original plan",I thought it was fishy,71,40,5,the journal where I would like to submit my paper/I have submitted my paper.,the journal where I would like to submit my paper/I have submitted my paper.,I rather don't agree,Yes,Multidisciplinary,Year of my PhD defense:,2005,United Kingdom,D
100,467,True,2024-03-13 21:56:51,R_1a1ifwDHXbP6LAJ,email,EN,Yes,No,NA,NA,NA,NA,NA,I rather don't agree,I rather don't agree,I agree,the same / equally,less,more,NA,NA,NA,NA,64,57,"research field,sample size,hypotheses","research field,other:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,85,86,my PI or collaborators.,my PI or collaborators.,I agree,I don't know,Clinical Medicine,Year of my PhD defense:,2020,Germany,B
100,1933,True,2024-03-13 21:57:05,R_8emJYGkaJVNMF8Z,email,EN,Yes,Yes,Yes,I rather agree,Yes,I rather agree,NA,NA,NA,NA,less,more,more,NA,NA,NA,NA,81,50,"sample size,statistical methods,study design,information about preregistration,information about deviations from the original plan",other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,50,95,"my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.","my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.",I agree,Yes,Clinical Medicine,Year of my PhD defense:,2007,Australia,B
100,13623,True,2024-03-13 22:02:01,R_2cYqhr4B77lVEhO,email,EN,Yes,No,NA,NA,NA,NA,NA,I rather don't agree,I don't agree,I rather agree,more,more,more,70,70,"statistical methods,study design,hypotheses","wording of the text,information about preregistration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,10,10,none,none,I don't know,No,Multidisciplinary,I haven't had a PhD defense,-99,UK,A
100,860,True,2024-03-13 22:10:52,R_3TsLJJE2zgcvuC7,email,EN,Yes,Yes,Yes,I rather don't agree,No,NA,I rather don't agree,NA,NA,NA,the same / equally,less,the same / equally,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,86,"sample size,statistical methods,study design,wording of the text,hypotheses","research field,study design,wording of the text,hypotheses",I didn't notice it,98,20,10,none,none,I agree,No,Other:,Year of my PhD defense:,2020,United States of America,D
100,282,True,2024-03-13 22:10:58,R_1UZ46IoEagfD0SR,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,the same / equally,the same / equally,less,NA,NA,NA,NA,5,82,"sample size,statistical methods,wording of the text","statistical methods,wording of the text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,80,60,"the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.","the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.",I agree,No,Multidisciplinary,Year of my PhD defense:,2018,Universidade Federal de Minas Gerais,B
100,2113,True,2024-03-13 22:11:49,R_2EX6qfqAWfK7wSt,email,EN,Yes,Yes,Yes,I don't agree,Yes,I agree,NA,NA,NA,NA,more,more,more,71,73,"sample size,statistical methods,study design,wording of the text","statistical methods,study design,wording of the text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,31,20,"my PI or collaborators.,else:","my PI or collaborators.,else:",I don't agree,Yes,Multidisciplinary,I haven't had a PhD defense,-99,USA,A
100,511,True,2024-03-13 22:12:03,R_4i8L8ca96PslVXI,email,EN,Yes,Yes,Yes,I don't agree,Yes,I agree,NA,NA,NA,NA,the same / equally,more,more,NA,NA,NA,NA,NA,NA,NA,NA,60,59,"study design,hypotheses,information about preregistration,information about deviations from the original plan","study design,wording of the text,hypotheses,information about preregistration,information about deviations from the original plan",I thought it was fishy,NA,NA,NA,NA,NA,77,58,84,"my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.",the journal where I would like to submit my paper/I have submitted my paper.,I agree,No,Social Sciences,Year of my PhD defense:,1994,Australia,C
100,774,True,2024-03-13 22:16:46,R_4ItHRv8qaczLFeg,email,EN,Yes,Yes,Yes,I don't agree,Yes,I agree,NA,NA,NA,NA,the same / equally,the same / equally,more,NA,NA,NA,NA,NA,NA,NA,NA,70,70,"sample size,statistical methods,information about preregistration,information about deviations from the original plan,other:","statistical methods,information about preregistration,information about deviations from the original plan,other:",I thought it was fishy,NA,NA,NA,NA,NA,75,75,65,"my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.","my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.",I agree,Yes,Clinical Medicine,Year of my PhD defense:,2023,Australia,C
100,12236,True,2024-03-13 22:17:30,R_3jjNgR28PvuQdWx,email,EN,Yes,No,NA,NA,NA,NA,NA,I don't agree,I rather agree,I agree,less,less,less,NA,NA,NA,NA,NA,NA,NA,NA,85,88,"sample size,statistical methods,study design,information about preregistration,information about deviations from the original plan","information about preregistration,information about deviations from the original plan",I thought it was a good decision,NA,NA,NA,NA,NA,61,26,24,my PI or collaborators.,none,I don't agree,No,Multidisciplinary,Year of my PhD defense:,2007,United States,C
100,375,True,2024-03-13 22:19:45,R_5hfGOaAzzEbjE4P,email,EN,Yes,No,NA,NA,NA,NA,NA,I rather don't agree,I rather don't agree,I rather agree,the same / equally,the same / equally,the same / equally,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,70,"statistical methods,hypotheses,information about preregistration,information about deviations from the original plan","research field,sample size,wording of the text",I thought it was a good decision,70,50,80,my PI or collaborators.,my PI or collaborators.,I agree,Yes,Clinical Medicine,I haven't had a PhD defense,-99,UK,D
